comment,upcount,usr_name,headurl,timepoint
吃人的嘴短、,51,玖玖灬归壹,http://thirdqq.qlogo.cn/g?b=oidb&k=FTuTSqlY8SGEwDu7j1HSVQ&s=40,1448
突然发现吴映香有点美的,15,你们的飞总欧巴,,1458
哈哈哈哈超越你的魔仙棒居然带来了,8,三午,http://thirdqq.qlogo.cn/g?b=oidb&k=mhWZzQ73ia1wmgibIxj76HXw&s=40,1452
宣仪太可爱啦,64,今天大雨,http://thirdqq.qlogo.cn/g?b=oidb&k=d5lu5YqVcXgkQUHgY9IIxQ&s=40,1463
陈意涵小姐姐终于出现了呜呜呜好看,41,奶精球,,1460
紧急事件事件分级考试时间发,14,꧁木木夕꧂,http://thirdqq.qlogo.cn/g?b=oidb&k=artQg1gljdlAtJ5LIItH2A&s=40,1448
    陈意涵你也是漂亮小姐姐好吗,12,JXxxx✨✨,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83eqh1ib2sIOhN6DFzwMv6NQZucLlZ5DkJwICTGSVjxowlJsZmIopU6zT4gqHXHpczwhNVnHQyplEa0A/132,1464
毛球走钻石路吧！！！我们挣大钱,9,˙Ꙫ˙,,1447
大哥，宇少一起走花路,18,杰尼苞啊🍃,,1445
终于有sunnee...泪崩,136,老乔,http://thirdqq.qlogo.cn/g?b=oidb&k=LOZ3POwbacSEL02OFz4ytA&s=40,1455
大哥！你是女生！,5,刘北大,,1449
你一票我一票。超越开心吹泡泡,32,VaCant,,1453
陈意涵！！女儿！！,5,- ゛十二,http://thirdqq.qlogo.cn/g?b=oidb&k=2LUGwMiat5MibCrRScyF7tOg&s=40,1464
房子大的好处。。,52,迷雾迷雾在迷路,http://thirdqq.qlogo.cn/g?b=oidb&k=F6yAXQyxBO8fMULRBRUzvw&s=40,1443
sunnee七彩小神龙,12,Easy,,1452
我还是比较喜欢那种比较明亮的寝室,70,白兎  ๑°,http://thirdqq.qlogo.cn/g?b=oidb&k=MjiaKuAZsa1XiauCDE4Kpxpg&s=40,1466
终于听sunnee说话了,49,白天不喝柠檬水,http://thirdqq.qlogo.cn/g?b=oidb&k=Cw6jHCqfFYVZvJmeLYd2Bw&s=40,1468
陈意涵！你出现了！,42,Marimo,,1462
杨芸晴为什么没有专访,12,～沫沫～,http://thirdqq.qlogo.cn/g?b=oidb&k=I0ibq7XpZDbUAJGur8akp6Q&s=40,1468
陈意涵来了宣仪杨超越傅菁的宿舍，这个画面也太美好...,30,Cherry,,1465
最差的寝室,1,☞☜,http://thirdqq.qlogo.cn/g?b=oidb&k=7Ric5NUbiaVfAmlPu3ac92Yg&s=40,1456
杨超越神经病,5,有恃无恐,,1462
Sunnee！！终于能听见你的声音了！感动！谢谢节目组！,3,Sherlock Holmes.,http://thirdqq.qlogo.cn/g?b=oidb&k=66Y09uMxicfXMNvURbBEwcQ&s=40,1458
Sunnee!终于有镜头了！爱你爱你。同时感谢节目组,3,Sherlock Holmes.,http://thirdqq.qlogo.cn/g?b=oidb&k=66Y09uMxicfXMNvURbBEwcQ&s=40,1463
是啊！超喜欢杨超越和yamy，高秋梓,9,镜花水月,,1450
这个可以哦,1,泳希kayจุ๊บ,http://thirdwx.qlogo.cn/mmopen/vi_32/IQhia6bnF9m1NTkiahWW73kqYHd43o9hAdKvuOWwFe2lGvaIJticElr5YNJCEBYic0rI9V7iaxelkMrE5Ehs9NgnHPg/132,1445
陈意涵耍赖，她肯定投村花的,0,saber,http://thirdwx.qlogo.cn/mmopen/vi_32/eXia8dG8ymUxgjWxKrDFDlE55XNtfrFaciayia0UqBibJ9lWobViawYZexIYqTYsCzPX4FE1iaLicdX0WEI6geiamtQjicg/132,1454
太有才了,8,化身孤岛的鲸,http://thirdqq.qlogo.cn/g?b=oidb&k=SOiavHdneuKy1fU7SoXocRw&s=40,1447
对哦，这宿舍的人颜值好高⊙∀⊙！,3,　٩꒰,http://thirdqq.qlogo.cn/g?b=oidb&k=ShJkzmGgiceNRh1piaUnXR0g&s=40,1467
我喜欢这四个，而且她们同一个宿舍。,2,梓紫,,1451
审美可以啊vip宿舍,0,非得取个名,,1443
范薇没镜头啊,2,人…生,http://thirdqq.qlogo.cn/g?b=oidb&k=ZibgkbIwKYIknbNDrt1H9fg&s=40,1445
陈意涵是真的漂亮,3,恒,http://thirdqq.qlogo.cn/g?b=oidb&k=Q7RS31dLNXHcEXku5wAJIw&s=40,1469
我不知道这个节目是在看什么,4,呵呵,,1460
胖虎放过我吧 现在12点真的好饿啊,2,自有天意,,1443
我想看sunnee的镜头,13,Ling.霞,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ5TRmndjq4jj3RtJ1kxIKaCMt1Rp2oub0n2JdFBMXNX2GCPGdtWS7kvcLGJdZlhGxUoQnvPnvLOg/132,1466
陈意涵啊啊啊啊,5,在路上,http://thirdqq.qlogo.cn/g?b=oidb&k=2TwmsV8HaH0RtNKohlZjZw&s=40,1459
yamy真的人缘好,6,golden sail,http://thirdwx.qlogo.cn/mmopen/vi_32/AsyA6TuYcwAebJLzmxAiadWlQe0J1JKgFLUJuN6y6CImcf6WdYyRdtKdqXILlxVIrp96h2DiaL8U2bNpy3bFwtxg/132,1451
能对sunnee公平一点吗,12,WIN📷,http://thirdwx.qlogo.cn/mmopen/vi_32/Qy8gvVmnzg9D9xD6jq1v2N5IO6sQp005tuaBDSjeBeeNqd4pAqkGbLsfnLNeuTQHltUdmVZRUgjk6XIibvWm5mQ/132,1466
馒头！！看这里,5,Muan zee,,1442
美岐宿舍最好,1,╰→葑訫鎖愛,http://thirdqq.qlogo.cn/g?b=oidb&k=eBaibbh7E8bwwppHIXtyAxg&s=40,1455
陈意涵你可来了,1,房东的猫,,1463
为什么等一星期，我大娟的镜头这么少！！！！！,1,浪仔,,1440
sunnee,5,ε猫儿妖妖з,,1460
哇哇哇哇，陈意涵女神，这颜值高的,4,Fiee,,1465
我意涵终于有镜头了,0,‭薛碧月,,1466
节目跑偏了,1,✎﹏情深缘浅🍥,,1455
又见大哥的床啦,3,J,,1453
那谁什么叫发现吴映香有点美？映香最美！！！,0,A000 LM创始人 一键转发,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83eoJxlu9zgicxBucKicyicCl1mEkg92fZmCpTXfxqzPjg39J7kjGbSyZHZIeuWWZ1ulXHSEU1jwEvp7Pg/132,1460
那边是舌尖上的101,0,不爱你了😣,,1452
蒋申呆比很不错的,0,舞天焚魔,http://thirdqq.qlogo.cn/g?b=oidb&k=5RxAJtrdwqWjZAaqiasKJfg&s=40,1462
最高颜值4个同框,3,林木木林,,1459
陈芳语的镜头呢？,0,痌玙楛,,1465
天啊意涵终于等到你,0,Zt.,,1454
我感觉没什么区别啊,0,冬月初三,http://thirdqq.qlogo.cn/g?b=oidb&k=QzQeIYAfBlBdqR19CiaFFOw&s=40,1467
桑尼这腿……,0,奇奇怪怪的大人啊,http://thirdwx.qlogo.cn/mmopen/vi_32/u4OemUpkKSvQAvumBXAcQX4XDsaiaIUjVe8Q5MWqQHjQnk8eKYZ0RutC3bKegap4IV2l4QRC3mncVibh9LIXhu8A/132,1459
陈意涵的大娟没镜头,0,星辰,,1440
Sunnee,11,许你一生安稳,,1447
好喜欢sunne,11,静,,1441
这间真的好看,15,Kaeley🍃,http://thirdwx.qlogo.cn/mmopen/vi_32/QVuXbhVdHoPFtm8ngp8ttq6B17nkLTlYHnUeFwJ0G67rWvUTURaofNPRl3reLcrmn0FFRh0wKs2UOoY3hqKrQQ/132,1442
实力不行就不要来啊，来了没实力就要承受压力不对吗,0,时光。那么长,http://thirdqq.qlogo.cn/g?b=oidb&k=WlVL6w6wk9bEsTJXKQeFSw&s=40,1454
太花哨了涂的,0,、辞简,http://thirdqq.qlogo.cn/g?b=oidb&k=Ljhx9ykj6fMFPLAYBsY3mA&s=40,1448
sunneee,15,小傻逼,http://thirdqq.qlogo.cn/g?b=oidb&k=Pz7rXOib0X51I3Wq7TAJ0Uw&s=40,1448
不会有味道吗,0,Louriane,http://thirdqq.qlogo.cn/g?b=oidb&k=8baia4Cyw0SBUPvHI8ibyElQ&s=40,1459
这个才是艺术,0,c.x,http://thirdqq.qlogo.cn/g?b=oidb&k=Hp7yGZozIzicjiaj6TGKQicHQ&s=40,1451
软七八糟的,0,Wednesday.,,1462
有声音没镜头,1,※拼出精彩※,http://thirdqq.qlogo.cn/g?b=oidb&k=51rFPQDAa4bb6oib1ibucFNg&s=40,1447
sunnee得罪人了  一个单独镜头都没有  采访都没有,0,林间小牧童,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLp32em6PV1VFPdajtzhfcYBqepdiaQ6eLbiaYDNdOnJsMY22820FTIicmsqCg8KgryvlOmcnQzVm7nw/132,1453
宣仪笑起来嘴好大！,1,南城以南が,http://thirdqq.qlogo.cn/g?b=oidb&k=qORM3Wjb57THTFs4nUGmcQ&s=40,1465
王菊啥都没,0,墨染白衣三寸,http://thirdqq.qlogo.cn/g?b=oidb&k=7HQ19y4FIuDicDGS8rdBgLw&s=40,1442
论说我只服王菊！！！,0,夯,http://thirdqq.qlogo.cn/g?b=oidb&k=ibvbc1HnovsI3mVibYKzIeDw&s=40,1442
24分了，才给我家意涵镜头,0,intersport,http://thirdwx.qlogo.cn/mmopen/vi_32/PiajxSqBRaELecjoOdpba9icH1nrtPqezJMQ0vlGIAg42WPSPdTibibQU700OVyCvjp2AGaGEPclHqaG352rfTzqibA/132,1466
紫宁人语共同出道很期待😇,0,Ψ初听与你№,,1441
陈意涵你就超好看啊,0,Gone with the wind°,,1469
哈哈哈有意思好可爱Yamy酱,0,,,1450
yami和王菊一起出道，友谊长存,0,Liability-,http://thirdqq.qlogo.cn/g?b=oidb&k=2BcicCAWDtfibt6yE9sB6s7Q&s=40,1450
不要因为其他的就否定自己喔,0,,,1450
yamy什么时候出来嘛,0,Lexcy,http://thirdwx.qlogo.cn/mmopen/vi_32/icyianiaCq6lUEANDpSaDOvnVdtE61C8aY84a6OqiabH6XOTnVic2RK7ApsbrEL3aoL9YHMejic4csDB9tFFjnWFgBSw/132,1450
想看菊姐啊，天啦噜,0,,,1467
问你！什么时候发玫瑰年华！,0,,,1467
我终于看到陈意涵了2333,0,逢凉野性,http://thirdqq.qlogo.cn/g?b=oidb&k=pgT1SOnia7s4QoPlNteGIQg&s=40,1468
恭喜“ 单”“ 。。。”被翻牌的两位宝宝获得独家签...,4,doki酱,http://thirdqq.qlogo.cn/g?b=sdk&k=OvahMdn3siajjhIiapUkiaOmw&s=40&t=1528214400,1496
为什么听她说话的声音这么讨厌,252,菲呀,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJLHhNibLUZuoJ7ogKkBNtRu1mp4z6rnqyLXF8cJL7GJAAF1wQReRN4iagA5rWiaVKWUx7dAyGxGXSVA/132,1484
yff别看了快睡吧,34,            see,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKLYfkHQb3c1JjBTwD106PibgbFFPAk6S18ZQRVNgGKVo8r73oJtfTkrsaib4nMXOHtrSAv0hhJZJDQ/132,1477
我家朵儿咋老不出来,67,与我相关+（9）,http://thirdqq.qlogo.cn/g?b=oidb&k=ibmzXDMYoN3yEDhUBzjOKFw&s=40,1490
前面的 您好看死了,42,KIWISU.,,1479
超越的最漂亮,101,周王,,1473
你漂亮你咋不参加呢,62,프라이팬,http://thirdqq.qlogo.cn/g?b=oidb&k=GfKepSjn6HbiczoZCYFXJwQ&s=40,1484
感觉吃货宿舍赢了,137,冰雪人,,1479
意涵最好看,116,徐小姐的大狗子,,1483
承包小七的嘿嘿,119,echo刘,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ5bjdXwTibWWicUVUG76P82Xl8TzkOVVK9XruyMSm9YpxiaSs0JubRnFqv0cohwAEaAsniaTttqmOSKw/132,1494
还有那种婚撒,81,95631rckfzuwcl,,1492
哑谜镜头也太多了吧,88,东野,http://thirdqq.qlogo.cn/g?b=oidb&k=DvDmvw0FIvPbic2wXiaZn9zA&s=40,1486
不想听她讲话 受不了,164,koni大富,http://thirdqq.qlogo.cn/g?b=oidb&k=MmACfecs1AOXiaCU27VEQfw&s=40,1490
吴志强别看了  睡觉去,56,葫芦娃,,1494
好喜欢听yamy说话,166,Z,,1489
意涵不能再佛了,104,侃侃,http://thirdqq.qlogo.cn/g?b=oidb&k=LCN7gfiaL2bbTbrkOlzV3WQ&s=40,1485
为什么YAMY每次镜头都那么多？？？？？？？？？,199,困,http://thirdqq.qlogo.cn/g?b=oidb&k=kHZzVYqwrycibcHoMbMPksg&s=40,1497
王菊冲啊有很多菊外人给你投票,71,刘健君,,1477
plmm不配拥有镜头吗？,61,Echo,,1497
我看一看的弹幕都没了.来早了,73, 灬 脱尘 丶,http://thirdqq.qlogo.cn/g?b=oidb&k=SHS3ZqgdQ8SW1Wfia5oNkPQ&s=40,1495
yamy好棒,111,小鬼👻夫人,http://thirdqq.qlogo.cn/g?b=oidb&k=qGyrKHibicUjIM0uksor5Xmw&s=40,1491
鬼王镜头能减少一点吗,146,吴༒邪,,1482
鸭米真的丑,97,退后.,http://thirdqq.qlogo.cn/g?b=oidb&k=fA3L0iackdrIS5SuiaLYn5WA&s=40,1473
鬼王,42,慎初,,1490
陈意涵美的很舒服,138,🎀 Hope☁,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIoWopESLIJ3b3LqkUjHa7NjadvCbHdo2icQqgV77eT7G9hr6ibBtQ66Nwg1h0Tia6mW710j59XOZVxQ/132,1481
陈意涵太美了,131,夏至,,1475
鬼王来了大家快跑,92,看山の狐狸,,1486
sunnee 太会说了,307,WINK-,,1491
鬼王别说了 ~我不听,152,慕枫丶,,1492
能不浪费镜头给鬼王吗,122,坏心情退散师,,1499
赵尧珂的大长腿,45,张籽沐是个小天使 ,,1474
宣仪又开始闹了,80,恩踢麻麻,http://thirdqq.qlogo.cn/g?b=oidb&k=eibEgVImRYC4mmxeVJLJX1w&s=40,1477
色的五色土巍峨特乳房沃尔特他个人电热的人反而为而...,69,手拿火星户口本,,1480
吕小雨不配有镜头？,21,塞舌尔,,1473
哇陈意涵姐姐来宣仪寝室了,47,🌸,http://thirdqq.qlogo.cn/g?b=oidb&k=uwwfibxZT45dK5VxSfVXHuw&s=40,1486
小七赖美云好可爱,38,Auf wind 🌬,http://thirdqq.qlogo.cn/g?b=oidb&k=5Sia1zPkhWM11cqMmuFEaoQ&s=40,1473
那个谁 没有本事就别说大话,7,守着花开,http://thirdqq.qlogo.cn/g?b=oidb&k=vRPbGrubeUavFNt0bO3Iibg&s=40,1477
赖美云赖小七呀,71,凸酱才不是咸鱼(:3▓▒,,1483
yamyyamyyamy！！！！！终于又见到你了qwqq,81,军师祭酒,,1487
哈哈哈意涵真相了,89,你,http://thirdqq.qlogo.cn/g?b=oidb&k=ugRpzhEKEP6p4CclIWmeew&s=40,1478
亚米 桑尼 山支 三个天秤座，绝对艺术满满,61,月光背面,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLZHdVIC3thJaSkufnYq3a5geVMVBeU5eHNYFnBTmJTbvIiaX9Kia9IQJxCFC6cNUoP0CYvjlhrLNug/132,1474
宣仪我爱你,84,是航,http://thirdqq.qlogo.cn/g?b=oidb&k=iavg7TcT4P52z4jgbBm972A&s=40,1476
鬼王来了，凡人撤离,70,敷衍~,http://thirdqq.qlogo.cn/g?b=oidb&k=KNvg0Dt0INdod3ib1ia5S7RA&s=40,1492
陈意涵很漂亮啊，多给点镜头嘛,35,ΒeSt✘记忆,,1495
小七，可爱~~~,56,Grass,http://thirdqq.qlogo.cn/g?b=oidb&k=7fdNiaGCbJc3DV2aiaxh7vPQ&s=40,1474
鬼王镜头这么多？,26,i won't give up,,1497
怎么鬼王这么多镜头,24,迷,http://thirdqq.qlogo.cn/g?b=oidb&k=C3Yadp2oxM9HvYtiaRD370Q&s=40,1499
陈意涵哪里美？？？？？？？？,44,欸,http://thirdqq.qlogo.cn/g?b=oidb&k=0MicYoD0cYIRXibZ9utYX77Q&s=40,1480
陈意涵你也是超美的啊啊啊啊啊,66,,,1471
朱天天估计凉了,79,🔆As you come back懒懒🔆,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKQiaen8V0UXHcVVVHibytCMVRicIDRHiacxzKF87983QhpGLWaWF3Q2MeOXu1IKoLZCDLJNZGK2r9hpA/132,1496
希望陈意涵一直走下去,53,淺Sè时光,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKzbriccqBJoZ2iaiar8ysy5jKWdZZuDiaWlxdRWU7ypzo1JwicQG20IHKCwTibKSxQLTHJG7L5Zq1ibqeHw/132,1482
意涵超越,35,何以,http://thirdqq.qlogo.cn/g?b=oidb&k=nrq9RIEpasLuTzFf8ZRKAA&s=40,1482
当然啦，sunnee会说因为她厉害呀,43,啦啦啦～,http://thirdwx.qlogo.cn/mmopen/vi_32/NSHbzrwV9tSWqbl6ia6TgMqgLcpg0krlyT0PTXA9ibmZ7tWKMWxEP0XQqepA4XhuAbU9GDAicO2A6z0rsc7PVAfzQ/132,1470
改得这么好  一会就全乱了吧哈哈哈,71,Gary,,1498
都是缘分啊,5,小飞鱼,,1470
去年有个选秀节目使劲怼,19,小飞鱼,,1485
爱yamy,30,but,http://thirdqq.qlogo.cn/g?b=oidb&k=bh7wL5ZHibVL8AicmhFdbbPw&s=40,1470
杨超越加油，棒棒得,72,爱我momo就现在,,1480
宣仪宣仪,65,丿宇,http://thirdqq.qlogo.cn/g?b=oidb&k=YZo68Hrrhw52WyNXzkbOQw&s=40,1478
杨超越超级棒的，加油哦,70,山,,1471
哈哈哈哈真的好喜欢听yamy讲话,3,`  Chloe C,http://thirdqq.qlogo.cn/g?b=oidb&k=h6B4Oh9cz6pYSy2zdhaCHw&s=40,1499
小眼才勾魂 yamy最迷人,43,雨林木风,,1481
yamy真有恁多粉丝？,2,城南徐公,,1499
杨超越卖人设还不懂吗?真那么穷谁信,29,  泽蒙 ,,1492
我喜欢吴宣仪,37,简单爱,,1478
yamy我喜欢你,56,简单爱,,1491
Sunnee镜头又没有了！气死我惹！！,10,Katherine🐚,,1497
又来拿家庭说事，唉,50,冷春雷,,1493
桑尼好可爱哦,34,yuzhicz,http://thirdqq.qlogo.cn/g?b=oidb&k=vt0vL3gpHuuE0Qtg0gGltQ&s=40,1472
为什么杨冰的镜头那么少,18,∵满太太~,http://thirdqq.qlogo.cn/g?b=oidb&k=s5NZiaWvVGNViavDxeSxtVdw&s=40,1498
感觉yamy无形中帮助了刘念很多，,23,Cool 警戒,http://thirdqq.qlogo.cn/g?b=oidb&k=48otAs3BsHS4DoFtWqCUAA&s=40,1476
山支大哥，太爱了,6,粉色咖啡,http://thirdqq.qlogo.cn/g?b=oidb&k=0x9nXgFCdbLgNU2p83DKBw&s=40,1473
陈意涵我爱妳,35,兔上校,http://thirdqq.qlogo.cn/g?b=oidb&k=oKdXNWyONRibW9dnApZicia3w&s=40,1476
意涵你终于出现了,9,兔上校,http://thirdqq.qlogo.cn/g?b=oidb&k=oKdXNWyONRibW9dnApZicia3w&s=40,1486
村花你最棒、,20,请叫我、李先生,http://thirdqq.qlogo.cn/g?b=oidb&k=nVc2Y5BRLBMxtgfXEJ89bw&s=40,1497
为什么看不见勾雪莹,0,飞影,,1492
Yamy了解一下,32,Ray,http://thirdqq.qlogo.cn/g?b=oidb&k=NfQZTOjWumd2rkIDhgQRsw&s=40,1476
杨超越脑子？？,14,Anduin_,,1476
还是喜欢你们的，不用喜欢别人的,23,算了,,1496
yamy漂亮哟,8,　,http://thirdqq.qlogo.cn/g?b=oidb&k=bvMEVOOnKz2fYiaachH6FYg&s=40,1470
我真的不想看鬼王，太辣眼睛了,2,风笑痴,http://thirdqq.qlogo.cn/g?b=oidb&k=E4PibTNsswAHsyMlZRJibrxQ&s=40,1486
就算sunnee镜头少小太阳们只要再坚持几期就行,17,预祝wuli兰憋6.27srkl🔥,http://thirdqq.qlogo.cn/g?b=oidb&k=hyx6rmhlOpex2icibLiaanOlA&s=40,1487
王菊到底晋级了没？,8,举个栗子,http://thirdqq.qlogo.cn/g?b=oidb&k=ra7L0Qe82mjQ7VNy6WEUyQ&s=40,1489
雅米主持人吗,1,Cwang,,1499
终于看到意涵,30,紫色兴贝壳,http://thirdqq.qlogo.cn/g?b=oidb&k=0bzQUBwNDCQUBD0iaeM3iaAQ&s=40,1496
sunnee喜欢的是男生 谢谢,29,三餘無夢生,http://thirdqq.qlogo.cn/g?b=oidb&k=4SK6dWVXH2ahXQbicIk6ewg&s=40,1472
紫婷也没了,10,素●年,,1471
你拉票我拉票，菊姐轻松睡大觉,5,👣修奈🔱🔱🔱,,1472
sunneeeeeeeeeeeee爱你啦！！！！！,2,柠栀,http://thirdqq.qlogo.cn/g?b=oidb&k=0LC4FoWRfzNGGv9hQ3iaaUg&s=40,1477
尧珂好漂亮,6,一纸荒凉,http://thirdwx.qlogo.cn/mmopen/vi_32/PiajxSqBRaELiabUmK74wpJOeuiaIQuYlommEVNyiaSIDFiaVenPmd7qqwpBrb8eMeC00Q3xjJrpiafwtOs0OibNjMsyw/132,1482
越涵约翰,5,shaw.,http://thirdqq.qlogo.cn/g?b=oidb&k=HDW7ooKUHBuAahNJmF7ibGQ&s=40,1472
鬼王走吧,12,一束清晨,http://thirdqq.qlogo.cn/g?b=oidb&k=EEcgicMqgEfbd8G58c19tAQ&s=40,1480
超越最好看,2,Captain Harlock,http://thirdqq.qlogo.cn/g?b=oidb&k=G8AuQR2fKxaCyDQzlgYgLw&s=40,1494
怎么不见热依娜,2,高帆,,1482
为什么没有李紫婷镜头？？？？？？？？？？？,3,红昭愿,,1481
本来就这样,0,大苏打,http://thirdqq.qlogo.cn/g?b=oidb&k=y3bSM8qiaTG1YG9uGyS26cw&s=40,1494
yamy，菊姐，自己出道吧。。。杨超越打打酱油就完了,14,最レ终〣ロ‥,http://thirdqq.qlogo.cn/g?b=oidb&k=OGtPuMtvIat3bZmSTWf7Lg&s=40,1495
赵尧珂腿真的好长,20,Stephen·J,,1493
pick陈意涵,12,画一方禁地♡.,,1475
亚米镜头太多了够了好吧,6,岐岐怪怪,http://thirdqq.qlogo.cn/g?b=oidb&k=4nPpo3SNK6RiblaOdXw7VMw&s=40,1490
女孩子真可爱啊,4,Ren合,,1496
段奥娟硬伤：舞蹈功底弱，情商低，不适应复杂娱乐圈,3,欲言轻语,http://thirdqq.qlogo.cn/g?b=oidb&k=sO4ia3tJbra01XhNUtF7SSQ&s=40,1481
小七！！,3,彭颖,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83eqjNgmIsOFmTU9vVZg9BTkic3Tqz68Z1Hnk6ibbn6jJJwxYhyGIQU4KImTYricKYVrXwWTuMnJhk2DGA/132,1481
点赞傅箐  毕竟我也一个姓哈哈哈隔~~~,0,意境,http://thirdqq.qlogo.cn/g?b=oidb&k=sve5YicjJNpg7cNkEcBcPHw&s=40,1470
陈意涵等你24分钟了！,2,lixian,,1471
无法理解在墙上挂草坪,12,Sophia,,1488
科技鬼王,4,KE,,1483
镜头太多了 丫米,16,空空,http://thirdqq.qlogo.cn/g?b=oidb&k=c9f8l0gAPUbyXrjOuI8MIQ&s=40,1488
节目组给sunnee镜头好吗,5,宇宙无敌超可爱,http://thirdqq.qlogo.cn/g?b=oidb&k=xcFrTiaOCNjWFkRh1ue8RjQ&s=40,1480
喜欢赵尧珂～(￣▽￣～)~,1,繁星入梦,,1489
吕小雨我爱你❤,1,Vicky,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83eoBQITnIb0ovvntvUwqQ1W8sBwszSwyxzy5lAA8l5hzCrN4qhUXdheltQ9iaIs9tgia2rGhlWOlQGgg/132,1494
真有家的感觉 啧啧,2,故事与他,,1490
sunnee的镜头能不能多一点,1,~,http://thirdwx.qlogo.cn/mmopen/vi_32/juDt2IiaeDtuyCjJJ3Cq0LBUlYDXLlKSbTTlMD8M2z9QLKzxrncxrqHsvTX6hISAc3lCosalKLoRFIiba8daoG9g/132,1478
朱天天是不是一直没给镜头啊？,1,′ヤgirl、,,1495
许靖韵怎么换宿舍了？？不是跟香香紫宁一间吗,0,寂静欢喜,,1487
陈芳语他们没镜头的？,0,Shallow moon。,,1475
yamy的普通话太差了,0,Sexy  Man ,,1475
有关于陈意涵好的，统统点赞,0,叶可峰,,1471
机制的胖虎,0,Ginnn,http://thirdqq.qlogo.cn/g?b=oidb&k=mzMLxYodksARVSP5r1k9WQ&s=40,1479
蔡依林大艺术家啾咪,0,时间烬头,,1483
就是喜欢杨超越。哈哈。所以说有的人努力一辈子也不行,3,林狸,,1488
赖美云☁︎,1,.,,1479
为什么豆子没有怎么出现,0,三月暮,http://thirdqq.qlogo.cn/g?b=oidb&k=FCDr9uUsVLwuJQ6EnTyUDQ&s=40,1475
喜欢仙女,0,婕子,http://thirdwx.qlogo.cn/mmopen/vi_32/ChdkM2Nx1yfqsGibnzLxAxUVxdFaL1haMdsvibsA0ic6qUAXQy6sohdQwJ1MbboK3hbLvPsC6FicQib9coVE2HdmUqA/132,1474
我pick宣怡,0,释,http://thirdqq.qlogo.cn/g?b=oidb&k=Pqc5qoJpaHfMLcMHh9KBjQ&s=40,1478
天天要离开了哦,6,火火火,http://thirdqq.qlogo.cn/g?b=oidb&k=QPswbw8pQZMAaklyqVoaWw&s=40,1498
海南仙女支持老乡,0,Hao找🆒运☁气️🐟,,1479
别光说可爱了，捞一下意涵吧,2,keep_ni,http://thirdqq.qlogo.cn/g?b=oidb&k=sBggf3vuxb8jRRqIx9ySNQ&s=40,1495
希望陈意涵和村花一起,0,♚老司机,http://thirdqq.qlogo.cn/g?b=oidb&k=3kVraQvZel2saUKpBaWeaA&s=40,1483
yamy我的首pick,5,爱是一个疯字。,http://thirdqq.qlogo.cn/g?b=oidb&k=blOaFnziafDPjAfbvuLUPYw&s=40,1493
什么时候看李紫婷,4,柬拇蒿,http://thirdqq.qlogo.cn/g?b=oidb&k=NJCiabnMhGE791nLkkB5icdg&s=40,1484
不喜欢这说话的腔调,4,IU,,1487
  我要看村花的宿舍,0,风中浅缘,http://thirdqq.qlogo.cn/g?b=oidb&k=CNn6DCIXJX4gbSw0fCvjGQ&s=40,1493
高颖浠！！,0,rookie,http://thirdqq.qlogo.cn/g?b=oidb&k=bibHkXRbOEjMPwfeZJVM0Cw&s=40,1474
陈意涵哪里不美,3,ééé,http://thirdqq.qlogo.cn/g?b=oidb&k=y0TG6omam8aw06oCv7fwpg&s=40,1487
最羡慕的就是摄像大哥,1,updps,,1485
喜欢陈意涵,0,做有志气的外星人,,1498
等点sunnee不容易啊,0,スカート,http://thirdqq.qlogo.cn/g?b=oidb&k=Pueb1w7KDXbgTngNZWBic8g&s=40,1485
两个带发卡的,0,HY,http://thirdwx.qlogo.cn/mmopen/vi_32/qH1HpkDBNEqVBVBenYyDgDeRhnAFViccP7yWcnJXoBic670b5acQSrneKCswgJ52WToMGlbZAFYXRQOMNtSjYatA/132,1491
这么有魔性的人怎么舍得请她出去呢,0,瞬翎,http://thirdqq.qlogo.cn/g?b=oidb&k=vYutWS89Jjfibek6HZafoeg&s=40,1485
莫名不喜欢这个声音,0,十二笔差一点,,1491
我愛豆子,0,PollyPolly,,1493
是不是寝室被吐槽太脏，，开始改造,126,强少,http://thirdqq.qlogo.cn/g?b=oidb&k=32LqF7vNHM1KjEbk0Cq1qQ&s=40,1526
转眼就乱了。根据以往节目播出乱的程度推算,100,胡悦,http://thirdqq.qlogo.cn/g?b=oidb&k=icgJRBibRczfcXnQl840H6Xw&s=40,1509
